title	author 	editor	isbn	default_price	best_price	best_store	discount	best_date	2024-06-08	2024-05-31	2023-12-06	2023-12-04	2023-11-28	2023-11-27	2023-11-26	2023-11-22	2023-11-17	2023-11-16	2023-11-15	2023-11-13	2023-11-12	2023-11-10	2023-11-08	2023-11-07	2023-11-04	2023-11-02	2023-11-01	2023-10-30	2023-10-29	2023-10-27	2023-10-26	2023-10-25	2023-10-21	2023-10-20	2023-10-19	2023-10-18	2023-10-17	2023-10-15	2023-10-14	2023-10-13	2023-10-12	2023-10-11	2023-10-10	2023-10-09	2023-10-06	2023-10-05	2023-10-04	2023-10-03	2023-10-02	2023-10-01	2023-09-30	2023-09-29	2023-09-28	2023-09-27	2023-09-26	2023-09-25	2023-09-23	2023-09-22	2023-09-21	2023-09-20	2023-09-19	2023-09-17	2023-09-16	2023-09-15	2023-09-14	2023-09-13	2023-09-12	2023-09-11	2023-09-10	2023-09-09	2023-09-07	2023-09-06	2023-09-01	2023-08-29	2023-08-27	2023-08-26	2023-08-25	2023-08-24	2023-08-23	2023-08-22	2023-08-21	2023-08-19	2023-08-18	2023-08-10	2023-08-09	2023-08-06	2023-08-05	2023-08-03	2023-08-02	2023-08-01	2023-07-31	2023-07-30	2023-07-29	2023-07-28
A rapariga no comboio edicao comemorativa	Paula Hawkins	Topseller	9789898839145	19.99	15.99	Bertrand	20	2023-11-27				19.99	19.99	15.99	19.99	19.99	19.99	15.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	15.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	15.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99
A rapariga no comboio	Paula Hawkins	Topseller	9789898800541	21.98	10.99	Wook	50	2023-11-22				13.19	13.19	13.19	13.19	10.99	10.99	10.99	10.99	10.99	10.99	17.59	17.59	17.59	19.79	17.58	19.78	19.78	19.78	19.78	19.78	17.59	17.59	17.59	17.59	19.78	19.78	17.59	19.78	19.78	17.58	17.58	17.59	19.78	19.78	19.78	17.59	17.59	19.78	17.58	19.78	17.59	19.78	17.58	17.58	17.58	17.58	17.58	17.58	17.59	17.59	17.59	17.59	17.59	17.59	17.58	17.58	17.58	17.58	19.78	19.78	19.78	17.58	17.59	19.78	19.78	19.78	19.78	17.59	17.59	19.78	13.19	13.19	17.59	16.49	15.39	19.78	17.58	17.58	17.58	17.58	17.58	17.58	17.58
O Diario de Anne Frank	Anne Frank	Livros do Brasil	9789723829112	16.6	11.62	Wook	30	2023-08-06	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	14.94	14.94	14.94	14.94	14.94	13.28	13.28	13.28	13.28	14.94	14.94	13.28	14.94	14.94	13.28	13.28	13.28	14.94	14.94	14.94	13.28	13.28	14.94	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	12.46	11.62	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28
Livro Sexto	Sophia de Mello Breyner Andresen	Assirio	9789723717839	13.3	9.31	Wook	30	2023-08-06	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	11.98	10.64	10.64	10.64	11.98	10.64	10.64	10.64	11.98	10.64	11.97	11.97	11.97	11.97	11.97	10.64	10.64	10.64	10.64	11.97	11.97	10.64	11.97	11.97	10.64	10.64	10.64	11.97	11.97	11.97	10.64	10.64	11.97	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	9.97	9.31	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64
Livro do Desassossego	Fernando Pessoa	Assirio	9789723717877	16.6	11.62	Wook	30	2023-09-20	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	14.94	14.94	14.94	14.94	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	14.94	14.94	13.28	13.28	14.94	13.28	14.94	13.28	14.94	13.28	13.28	14.94	13.28	13.28	13.28	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	13.28	13.28	13.28	13.28	14.94	13.28	13.28	14.94	13.28	13.28	13.28	12.46	11.62	14.94	14.94	14.94	14.94	14.94	14.94	14.94	13.28
O ano da morte de Ricardo Reis	Jose Saramago 	Porto Editora 	9789720048820	17.7	12.39	Wook	30	2023-08-06	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	15.93	14.16	14.16	14.16	15.93	14.16	14.16	14.16	15.93	14.16	15.93	15.93	15.93	15.93	15.93	14.16	14.16	14.16	14.16	15.93	15.93	14.16	15.93	15.93	14.16	14.16	14.16	15.93	15.93	15.93	14.16	14.16	15.93	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16	13.27	12.39	14.16	14.16	14.16	14.16	14.16	14.16	14.16	14.16
Jogos Crueis	Jodi Picoult	Bertrand Editora	9789722535809	18.8	15.04	Almedina	20	2024-06-08	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	16.92	15.04	15.04	16.92	16.92	15.04	16.92	16.92	16.92	15.04	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	15.04	16.92	16.92	15.04	15.04	16.92	16.92	16.92	16.92	16.92	16.92	16.92	15.04	16.92	15.04	16.92	16.92	16.92	16.92	15.04	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	15.04	15.04	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92
Um clarao de luz	Jodi Picoult	Presenca	9789722363402	17.9	12.53	Presenca	30	2023-09-13	14.32	14.32	14.32	14.32	14.32	14.32	14.32	14.32	16.11	14.32	14.32	16.11	16.11	14.32	16.11	16.11	16.11	14.32	16.11	16.11	16.11	16.11	16.11	16.11	16.11	16.11	16.11	16.11	16.11	14.32	16.11	16.11	14.32	14.32	16.11	16.11	16.11	16.11	16.11	16.11	16.11	14.32	16.11	14.32	16.11	16.11	16.11	16.11	14.32	14.32	14.32	14.32	14.32	14.32	16.11	16.11	16.11	12.53	12.53	12.53	12.53	12.53	12.53	12.53	12.53	12.53	14.32	14.32	14.32	16.11	16.11	16.11	16.11	14.32	14.32	14.32	14.32	14.32	16.11	16.11	16.11	16.11	16.11	16.11	16.11	16.11
Os Homens Que Odeiam As Mulheres	Stieg Larsson	Dom Quixote	9789722055000	20.9	12.54	Leya	40	2023-11-28				16.72	12.54	12.54	16.72	16.72	18.82	16.73	16.73	16.73	18.82	16.73	16.73	16.73	18.82	16.72	16.72	16.72	16.72	16.72	16.72	15.67	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	18.81	18.81	18.81	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.73	16.73	16.73	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72	15.67	15.67	15.67	16.72	16.72	16.72	15.68	14.63	16.72	16.72	16.72	16.72	16.72	16.72	16.72	16.72
A Rapariga Que Sonhava Com Uma Lata De Gasolina E Um Fosforo	Stieg Larsson	Dom Quixote	9789722056274	22.2	13.32	Fnac	40	2023-10-26													19.99	17.77	17.77	17.77	19.99	17.76	17.76	17.76	17.76	17.76	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	19.98	19.98	19.98	17.76	17.76	17.76	17.76	17.76	17.76	17.76	13.32	13.32	13.32	13.32	13.32	13.32	17.77	17.77	17.77	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32
A Rainha No Palacio Das Correntes De Ar	Stieg Larsson	Dom Quixote	9789722055024	22.2	13.32	Fnac	40	2023-10-26													19.98	17.76	17.76	17.76	19.98	17.76	17.76	17.76	17.76	17.76	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	15.54	15.54	13.32	13.32	13.32	15.54	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	17.76	17.76	17.76	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32	13.32
Fechada Para o Inverno	Jorn Lier Horst	Dom Quixote	9789722060615	18.8	11.28	Leya	40	2023-11-28	15.04	15.04	15.04	15.04	11.28	11.28	15.04	15.04	16.93	15.04	15.04	15.04	16.93	15.04	15.04	15.04	16.93	15.04	15.04	15.04	15.04	15.04	16.92	14.1	15.04	15.04	15.04	16.92	16.92	15.04	16.92	16.92	15.04	15.04	15.04	16.92	16.92	16.92	15.04	15.04	16.92	15.04	16.92	15.04	16.92	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	16.92	16.92	16.92	15.04	15.04	16.92	16.92	16.92	16.92	14.1	14.1	14.1	15.04	15.04	15.04	14.11	13.16	16.92	15.04	15.04	15.04	15.04	15.04	15.04	15.04
Caes de caca	Jorn Lier Horst	Dom Quixote	9789722062268	18.8	11.28	Leya	40	2023-11-28				15.04	11.28	11.28	15.04	15.04	16.93	15.04	15.04	16.93	16.93	15.04	16.93	16.93	16.93	13.16	13.16	13.16	13.16	13.16	15.04	14.1	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	16.92	16.92	16.92	16.92	16.92	16.92	15.04	16.92	15.04	16.92	15.04	15.04	15.04	15.04	15.04	15.04	16.92	16.92	16.92	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	15.04	16.92	14.1	14.1	14.1	13.16	13.16	13.16	13.16	13.16	13.16	13.16	13.16	13.16	13.16	13.16	13.16	13.16
A toupeira	John Le Carre	Dom Quixote	9789722056045	19.9	11.94	Leya	40	2023-11-28	15.92	15.92	15.92	15.92	11.94	11.94	15.92	15.92	17.9	15.92	15.92	15.92	17.9	15.92	15.92	15.92	17.9	15.92	15.92	15.92	15.92	15.92	17.91	14.92	15.92	15.92	15.92	17.91	17.91	15.92	17.91	17.91	15.92	15.92	15.92	17.91	17.91	17.91	13.93	13.93	13.93	13.93	13.93	13.93	13.93	13.93	13.93	13.93	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92	17.91	17.91	17.91	15.92	15.92	17.91	17.91	17.91	17.91	14.92	14.92	14.92	15.92	15.92	15.92	14.92	13.93	17.91	15.92	15.92	15.92	15.92	15.92	15.92	15.92
O ilustre colegial	John Le Carre	Dom Quixote	9789722055321	22.9	13.74	Fnac	40	2023-10-26													20.61	18.32	18.32	18.32	20.61	18.32	18.32	18.32	18.32	18.32	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	20.61	20.61	20.61	18.32	18.32	20.61	18.32	20.61	18.32	20.61	13.74	13.74	13.74	13.74	13.74	13.74	18.32	18.32	18.32	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74	13.74
A gente de smiley	John Le Carre	Dom Quixote	9789722055406	20.9	14.63	Leya	30	2023-10-04													18.82	16.73	16.73	16.73	18.82	16.72	18.81	18.81	18.81	18.81	18.81	15.67	16.73	16.73	16.73	18.81	18.81	16.73	18.81	18.81	16.72	16.72	16.73	18.81	18.81	18.81	14.63	14.63	14.63	14.63	14.63	14.63	14.63	14.63	14.63	14.63	16.73	18.81	18.81	16.73	16.73	16.73	16.73	16.73	16.73	18.81	18.81	18.81	18.81	18.81	18.81	18.81	16.72	16.73	18.81	18.81	18.81	18.81	15.67	15.67	15.67	16.72	16.72	16.73	15.68	14.63	18.81	16.72	16.72	16.72	16.72	16.72	16.72	16.72
A torre da barbela	Ruben A.	Livros do Brasil	9789897110887	8.8	7.04	Fnac,Wook	20	2023-12-06	7.92	7.92	7.04	7.04	7.04	7.04	7.04	7.04	7.92	7.04	7.04	7.92	7.92	7.04	7.92	7.92	7.92	7.04	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.04	7.92	7.92	7.04	7.04	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.04	7.92	7.04	7.92	7.92	7.92	7.92	7.04	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92								
O velho que lia romances de amor	Luis Sepulveda	Livros do Brasil	9789723830422	8.8	6.16	Wook	30	2023-08-06	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.92	7.04	7.04	7.04	7.92	7.04	7.04	7.04	7.92	7.04	7.92	7.92	7.92	7.92	7.04	7.04	7.04	7.04	7.04	7.92	7.92	7.04	7.92	7.92	7.04	7.04	7.04	7.92	7.92	7.92	7.04	7.04	7.92	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	6.6	6.16								
O velho que lia romances de amor	Luis Sepulveda	Porto Editora	9789720041876	13.3	9.31	Wook	30	2023-12-06	10.64	10.64	9.31	9.31	9.31	9.31	9.31	9.31	10.64	10.64	10.64	10.64	11.97	10.64	10.64	10.64	11.97	10.64	11.97	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	10.64	11.97	11.97	10.64	10.64	10.64	11.97	11.97	11.97	10.64	10.64	11.97	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	9.31	10.64	10.64	10.64	10.64	10.64	10.64	10.64	10.64	9.31	9.31	9.31	9.31	9.31								
A metamorfose	Franz Kafka	Livros do Brasil	9789723830385	8.8	6.16	Wook	30	2023-08-06	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.92	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.92	7.92	7.92	7.92	7.92	7.04	7.04	7.04	7.04	7.92	7.92	7.04	7.92	7.92	7.04	7.04	7.04	7.92	7.92	7.92	7.04	7.04	7.92	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	7.04	6.6	6.16								
A metamorfose	Franz Kafka	Presenca	9789722360326	10.0	5.0	Presenca	50	2023-09-13	7.99	8.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	7.99	7.99	7.99	9.0	7.99	7.99	7.99	9.0	8.0	9.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	7.99	9.0	9.0	7.99	9.0	9.0	8.0	8.0	8.0	9.0	9.0	9.0	7.99	7.99	9.0	8.0	9.0	7.99	9.0	7.99	7.99	9.0	8.0	8.0	8.0	8.0	8.0	8.0	7.99	7.99	7.99	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	8.0	8.0	8.0	9.0	7.99	7.99	9.0	8.0	8.0	7.0	7.0	7.0								
A grande arte	Rubem Fonseca	Wook	9789720071514	16.6	11.62	Fnac	30	2023-08-29	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	14.94	14.94	14.94	14.94	14.94	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	14.94	14.94	13.28	13.28	14.94	13.28	14.94	13.28	14.94	13.28	13.28	14.94	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	14.94	14.94	14.94	14.94	14.94	13.28	14.94	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	12.46	11.62								
Agosto	Rubem Fonseca	Wook	9789896760694	16.6	11.62	Fnac	30	2023-08-29				13.28	13.28	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	13.28	13.28	14.94	13.28	14.94	14.94	14.94	14.94	14.94	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	14.94	14.94	13.28	13.28	14.94	13.28	14.94	13.28	14.94	13.28	13.28	14.94	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	13.28	14.94	14.94	14.94	14.94	14.94	14.94	13.28	14.94	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	11.62	12.46	11.62								
Agosto	Rubem Fonseca	Leya	9789896604196	10.0	6.0	Leya	40	2023-11-28				8.0	6.0	6.0	8.0	8.0	8.0	7.99	7.99	7.99	9.0	7.99	7.99	7.99	9.0	8.0	9.0	9.0	9.0	9.0	9.0	7.5	7.99	7.99	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	7.99	7.99	7.99	7.99	7.99	7.99	8.0	8.0	8.0	8.0	8.0	8.0	8.0	7.5	7.5	7.5	8.0	8.0	8.0	7.49	7.0								
Fanny Owen	Agustina Bessa-Luis	Relogio DAgua	9789896417727	17.0	13.6	Almedina	20	2024-06-08	13.6	13.6	13.6	13.6	13.6	13.6	15.3	13.6	15.3	13.6	13.6	13.6																																																																										
A Célula Adormecida	Nuno Nepomuceno	Wook	9789898979773	19.95	15.96	Fnac,Wook	20	2023-12-06	17.96	17.96	15.96	15.96	15.96	15.96	15.96	15.96	17.96	15.96	15.96	17.96																																																																										
O Buraco da Agulha	Ken Follett	Presenca	9789722366182	19.9	15.92	Fnac,Wook,Presenca	20	2023-12-06	17.91	17.91	15.92	15.92	15.92	15.92	15.92	15.92	17.91	15.92	15.92	17.91																																																																										
Persuasão	Jane Austen	Presenca	9789722360333	15.9	7.95	Presenca	50	2023-11-27	12.72	12.72	11.13	12.72	12.72	7.95	12.72	7.95	7.95	7.95	7.95	7.95																																																																										
Mulherzinhas	Louise May Alcott	Wook	9789897022227	13.9	4.17	Wook	70	2023-11-15				11.12	11.12	11.12	11.12	6.95	6.95	6.95	4.17	6.95																																																																										
Uma Gaiola de Ouro	Camilla Läckberg	Wook	9789896657420	20.9	10.45	Wook	50	2023-11-22				14.63	14.63	14.63	14.63	10.45	10.45	10.45	10.45	10.45																																																																										
Deontologia Profissional dos Advogados	CRL OA	Almedina	9789724080819	34.9	27.92	Bertrand	20	2024-05-31	31.41	27.92	27.92	27.92	27.92	27.92	27.92	27.92	31.41	27.92	27.92	31.41																																																																										
Advocacia e Deontologia Profissional do Advogado	Manuel Ramirez Fernandes	Wook	9789727248162	29.5	23.6	Wook,Almedina	20	2024-06-08	23.6	23.6	23.6	23.6	23.6	23.6	23.6	23.6	26.55	23.6	23.6	26.55																																																																										
